Date,MSCI Emerging Markets IMI
1994-05,10000
1994-06,9875.948109197687
1994-07,10433.051304452258
1994-08,11901.846413963138
1994-09,12123.741054629458
1994-10,12079.823671116488
1994-11,11380.442282196858
1994-12,10924.0547165857
1995-01,9991.19297510249
1995-02,9994.890041703853
1995-03,10025.761725234952
1995-04,10255.144691883643
1995-05,10876.72284481033
1995-06,10843.072474279485
1995-07,11043.232131040995
1995-08,10742.874904924163
1995-09,10684.475381539629
1995-10,10362.171237763769
1995-11,10071.539416146055
1995-12,10525.242487537118
1996-01,11347.003845420231
1996-02,11189.042553943027
1996-03,11197.14313299314
1996-04,11586.65382505104
1996-05,11431.847991692199
1996-06,11469.737037307405
1996-07,10688.054707166422
1996-08,10956.409936396325
1996-09,11034.58994350788
1996-10,10725.284403324064
1996-11,10872.672555285277
1996-12,10877.17026051368
1997-01,11609.542670506593
1997-02,12166.457480201854
1997-03,11862.120609144706
1997-04,11641.615311978261
1997-05,11808.76039947158
1997-06,12395.41657934211
1997-07,12512.451108060312
1997-08,10907.759365705822
1997-09,11035.673160473883
1997-10,9169.50226180412
1997-11,8704.684442414067
1997-12,8742.997355537711
1998-01,8129.072365957787
1998-02,8991.595649235507
1998-03,9297.981213250097
1998-04,9236.732358281077
1998-05,8017.006506366253
1998-06,7102.488808720367
1998-07,7233.369676047482
1998-08,5205.375581934767
1998-09,5385.425080240474
1998-10,5920.369424081797
1998-11,6351.701710305398
1998-12,6158.418126458516
1999-01,5849.442261003483
1999-02,5925.502930572857
1999-03,6723.386418814066
1999-04,7570.83885734739
1999-05,7493.247555108663
1999-06,8263.979974615046
1999-07,8067.752866404026
1999-08,8023.011296069099
1999-09,7701.931658428724
1999-10,7876.32958995528
1999-11,8657.281926053958
1999-12,10032.284575225885
2000-01,10076.93195278116
2000-02,10056.515667791486
2000-03,10053.878269961217
2000-04,8993.997565116646
2000-05,8513.967611812717
2000-06,8786.56151612698
2000-07,8358.125657877696
2000-08,8445.13623808167
2000-09,7606.349535276373
2000-10,6996.286449662201
2000-11,6420.250505697485
2000-12,6498.972121292042
2001-01,7380.946213567999
2001-02,6832.249723897415
2001-03,6192.845587421496
2001-04,6449.874134898189
2001-05,6520.448075052808
2001-06,6404.025799402347
2001-07,5992.49754510068
2001-08,5929.270641758956
2001-09,5017.296149163686
2001-10,5292.009391020131
2001-11,5878.547829916098
2001-12,6381.160502141708
2002-01,6593.141352749605
2002-02,6688.982506045999
