Date,MSCI Europe
1978-12,10000
1979-01,10044.71394613556
1979-02,10224.262075650227
1979-03,10879.278114975421
1979-04,11025.247513327642
1979-05,10469.467586716208
1979-06,10773.695506681128
1979-07,10932.934850338095
1979-08,11261.106367265927
1979-09,11828.309985922318
1979-10,10763.021855022962
1979-11,11205.603378643465
1979-12,11230.700883893749
1980-01,11782.845999399966
1980-02,11922.18042509981
1980-03,10214.453855207588
1980-04,11244.663174170915
1980-05,11536.601970875352
1980-06,12354.37677413399
1980-07,12533.521035748077
1980-08,12634.314924649789
1980-09,12834.229535436523
1980-10,13278.426530659339
1980-11,13104.821028824628
1980-12,12567.388243982368
1981-01,12074.438623618194
1981-02,11954.66294338926
1981-03,12179.444277768802
1981-04,12047.84103759433
1981-05,11076.884909187416
1981-06,10809.46666358958
1981-07,10499.41150677344
1981-08,10791.407998892248
1981-09,9772.103113244559
1981-10,10152.777457247697
1981-11,11387.45932473287
1981-12,11001.59239343657
1982-01,11158.697006761902
1982-02,10721.308070434561
1982-03,10685.825390597956
1982-04,11007.59271653089
1982-05,10993.688121668089
1982-06,10100.73619348734
1982-07,10308.439685213818
1982-08,10366.192794996652
1982-09,10597.95527451478
1982-10,10725.231358611616
1982-11,10893.182709838222
1982-12,11438.23128937712
1983-01,11455.770695345132
1983-02,11897.659873993214
1983-03,12494.461240220626
1983-04,13512.035263437261
1983-05,13370.623802820151
1983-06,13607.059610902124
1983-07,13417.818651773556
1983-08,13125.360596339802
1983-09,13351.930488564767
1983-10,13341.429923149708
1983-11,13733.297177540328
1983-12,13835.129583900667
1984-01,14390.794119683367
1984-02,14794.662020262629
1984-03,15182.836768133666
1984-04,14977.614179225035
1984-05,13884.978421915026
1984-06,13859.534744178532
1984-07,12947.8895017424
1984-08,14043.467725185204
1984-09,13832.590985668458
1984-10,13863.804204841797
1984-11,13823.359719369504
1984-12,13920.922665066579
1985-01,14561.861023285868
1985-02,13954.559091643396
1985-03,15565.184279153491
1985-04,16012.09295885163
1985-05,16846.484041448384
1985-06,17044.552398975327
1985-07,18649.984999192264
1985-08,19605.190279476585
1985-09,19926.611432923306
1985-10,22137.961274837875
1985-11,23868.93909672059
1985-12,24908.841245297823
1986-01,25383.386028478453
1986-02,28398.606078788856
1986-03,30722.346587893193
1986-04,33577.288777088
1986-05,30609.205880316626
1986-06,31942.373820128774
1986-07,31668.493688121667
1986-08,35206.376497196
1986-09,32975.06404190994
1986-10,33175.84408391221
1986-11,34952.343587731644
1986-12,35831.62170270707
1987-01,37413.62996469039
1987-02,38749.39419814913
1987-03,40663.78574230921
1987-04,42255.48683390644
1987-05,42020.37802035494
1987-06,43218.19251805866
1987-07,44671.36691975721
1987-08,45043.50234243382
1987-09,45337.63356488426
1987-10,36718.22713530729
1987-11,35101.48623387413
1987-12,37143.44233920288
1988-01,35619.187187002375
1988-02,37714.85772310817
1988-03,38753.08670466871
1988-04,39474.048602617055
1988-05,38736.93198864554
1988-06,38345.987860884816
1988-07,38431.89633287946
1988-08,36687.59087027763
1988-09,38682.06364958113
1988-10,42266.67974429392
1988-11,42787.90011769864
1988-12,43014.98926865293
1989-01,44575.361750248085
1989-02,44069.31527082227
1989-03,44388.717084766104
1989-04,45620.74496319032
1989-05,43284.83072165424
1989-06,45068.88832475594
1989-07,50374.03937135076
1989-08,49744.64009600517
1989-09,50600.09000484641
1989-10,47282.89215573146
1989-11,49907.11038286677
1989-12,55278.26498349911
1990-01,55130.16085481524
1990-02,53809.10895202049
1990-03,54568.669082181346
1990-04,53118.78331910181
1990-05,57443.40079850453
1990-06,59460.95174355543
1990-07,61967.58671620779
1990-08,55821.121137292
1990-09,49247.017147077146
1990-10,53398.43299254575
1990-11,53932.80792042648
1990-12,53152.4197456786
1991-01,54940.91989568669
1991-02,59747.582562137955
1991-03,55741.73224712099
1991-04,55155.719923380486
1991-05,56784.172993930435
1991-06,52016.743209249726
1991-07,55621.03344026217
1991-08,56635.54960651727
1991-09,58333.756433038696
1991-10,57107.55579146569
1991-11,55765.27197618333
1991-12,60122.602755532986
1992-01,60104.94795873624
1992-02,60339.191341072205
1992-03,58226.442962313355
1992-04,61439.26980683576
1992-05,64936.996607509616
1992-06,63726.89298654543
1992-07,61450.11654473702
1992-08,61249.740370635336
1992-09,60236.72428515381
1992-10,56033.78643465417
1992-11,56006.43880824352
1992-12,57291.257990814884
1993-01,57387.4939419815
1993-02,58044.06775749463
1993-03,61030.03623272022
1993-04,62376.07024993653
1993-05,63047.125614456156
1993-06,62126.07601947798
1993-07,62339.318270983815
1993-08,67809.65128891556
1993-09,67599.00533105628
1993-10,70415.17620179548
1993-11,68895.19051025824
1993-12,74067.69979921995
1994-01,77839.65290438716
1994-02,75083.02370127622
1994-03,72957.92850384252
1994-04,75979.03348641848
1994-05,72749.30188548613
1994-06,71985.47229466202
1994-07,75758.23313563036
1994-08,78161.07405783387
1994-09,75061.73409337425
1994-10,78331.67939812141
1994-11,75331.22937388936
1994-12,75759.44473933213
1995-01,75166.3358796243
1995-02,76869.38912095265
1995-03,80436.52350511179
1995-04,83008.87355472987
1995-05,84708.46507119613
1995-06,85507.02730147008
1995-07,89963.99806143407
1995-08,86486.17617871732
1995-09,89098.79762756455
1995-10,88677.96727516096
1995-11,89308.52045879394
1995-12,92138.71131522465
1996-01,92741.05144123145
1996-02,94430.54626018326
1996-03,95559.70321478847
1996-04,96251.12506058019
1996-05,96994.87664720407
1996-06,98062.87646257873
1996-07,96834.5410906741
1996-08,99708.06120329558
1996-09,101806.03955597608
1996-10,104169.5322055803
1996-11,109448.25875239434
1996-12,111568.33444877803
1997-01,111871.00459255498
1997-02,113349.27649950382
1997-03,117010.05054118298
1997-04,116428.07689644826
1997-05,121399.9792296508
1997-06,127473.74858646234
1997-07,133447.47409475895
1997-08,125822.62121806559
1997-09,138024.10514412317
1997-10,131236.87429323117
1997-11,133253.50211165217
1997-12,138123.51434308
1998-01,143873.20855738386
1998-02,155121.67962890308
1998-03,166168.90909510513
1998-04,169391.71724631326
1998-05,172822.97892963467
1998-06,174716.48473379333
1998-07,178168.1705938012
1998-08,155757.8292677298
1998-09,149530.3016316263
1998-10,161499.67690567952
1998-11,170092.13957674644
1998-12,177529.02079342733
1999-01,176386.01693937366
1999-02,171909.42973852437
1999-03,173785.39613671505
1999-04,178963.61727169924
1999-05,170368.3275253283
1999-06,173243.924672867
1999-07,174852.99208418914
1999-08,176629.31850176546
1999-09,175267.70672266968
1999-10,181716.9001407768
1999-11,186617.54863723431
1999-12,205745.02088574
2000-01,191091.13567653645
2000-02,201056.34534167222
2000-03,205911.76063326484
2000-04,196822.0788811705
2000-05,195212.66529736214
2000-06,199403.19863377258
2000-07,196217.48863400336
2000-08,193908.2296739055
2000-09,184829.68313678427
2000-10,183428.1461309455
2000-11,176325.32136345803
2000-12,188479.7258313909
2001-01,188566.03817128614
2001-02,172012.06988068589
2001-03,159181.87902425515
2001-04,170493.87274699408
2001-05,162181.982876001
2001-06,156051.03736355033
2001-07,156439.09672059264
2001-08,152366.08894325077
2001-09,137160.75096351342
2001-10,141521.3703814821
2001-11,147202.17627102998
2001-12,150972.8023816667
2002-01,143084.05067965196
2002-02,143059.93399644597
2002-03,150812.75530220856
2002-04,149661.6740901433
2002-05,149203.3994138146
2002-06,144023.62050264244
2002-07,127998.37298931478
2002-08,127974.9486510812
2002-09,111139.83060626341
2002-10,121882.02441669934
2002-11,127866.8274445547
2002-12,123230.19316424729
2003-01,117400.41771480002
2003-02,113569.0383328333
2003-03,111874.69709907456
2003-04,126963.49034178762
2003-05,135198.5299208419
2003-06,136502.100113083
2003-07,139275.1148138746
2003-08,139012.08141976874
2003-09,141839.90676421038
2003-10,151328.4946112483
2003-11,157769.20680344323
2003-12,170725.98139899838
2004-01,172721.9542590755
2004-02,177780.8612771457
2004-03,172240.543721585
2004-04,170811.94756640744
2004-05,173586.0007846576
2004-06,175907.8373450878
2004-07,171066.96129791604
2004-08,171170.1783942212
2004-09,178034.95188202444
2004-10,184461.24022062725
2004-11,197993.4111836791
2004-12,206377.93958136206
2005-01,202552.79130414713
2005-02,212685.49075719455
2005-03,207329.74083219864
2005-04,202074.66940527566
2005-05,202791.82340587568
2005-06,205585.03150169624
2005-07,213072.8000738501
2005-08,216249.68267522095
2005-09,221496.73443954674
2005-10,214521.87810112856
2005-11,218139.20749578823
2005-12,225814.19768756774
2006-01,240567.95365904315
2006-02,240768.09905148737
2006-03,250120.9295885163
2006-04,262897.0021462694
2006-05,255637.13046087095
2006-06,256468.75216357803
2006-07,260378.71269991458
2006-08,268596.559045487
2006-09,270896.125175971
2006-10,282514.1930719346
2006-11,292558.5031501696
2006-12,301952.75899471506
2007-01,303736.64351157367
2007-02,302643.7769726062
2007-03,313612.07911195216
2007-04,333870.26609125105
2007-05,339741.0052848999
2007-06,339674.07860423246
2007-07,332440.9198956867
2007-08,328770.2799381505
2007-09,345414.77233389486
2007-10,361511.73524728254
2007-11,349940.2852461286
2007-12,343809.97438323597
2008-01,307936.6388959405
2008-02,312881.3089935612
2008-03,314183.3214096144
2008-04,328401.4908495073
2008-05,329853.7998199903
2008-06,301145.7732339433
2008-07,292490.768733701
2008-08,280973.14855415287
2008-09,238589.6932911772
2008-10,187902.25242897694
2008-11,175016.90475640996
2008-12,184205.0725808312
2009-01,163834.1487618564
2009-02,147189.07941196833
2009-03,157389.57097689874
2009-04,179334.4256998454
2009-05,201088.13551498926
2009-06,197150.30809351272
2009-07,217856.55766079706
2009-08,231596.1436385036
2009-09,242343.81851330455
2009-10,239529.26311416767
2009-11,246482.65675844086
2009-12,250202.9724677483
2010-01,235419.6764441162
2010-02,230735.61653319793
2010-03,245689.1140292169
2010-04,239041.7945581685
2010-05,209938.90055618377
2010-06,208378.1819021024
2010-07,232643.02693221942
2010-08,224082.8159977845
2010-09,248708.661235605
2010-10,259484.0299093028
2010-11,239782.37289700212
2010-12,259907.22577369548
2011-01,270151.33507188846
2011-02,279020.9088181671
2011-03,276694.6297108306
2011-04,298834.6103251713
2011-05,288972.6177563407
2011-06,283435.93501188525
2011-07,273827.9753525189
2011-08,246393.86351572775
2011-09,219348.50338095127
2011-10,245896.5290438716
2011-11,234800.60464794256
2011-12,231172.89007869657
2012-01,242007.28116129327
2012-02,257334.7603332487
2012-03,255820.77496480578
2012-04,249959.0939512127
2012-05,219322.2519674136
2012-06,236717.30400867737
2012-07,239381.38976714129
2012-08,249940.8045048579
2012-09,257320.16339341347
2012-10,261060.15323902055
2012-11,267839.5375135584
2012-12,275376.1741016824
2013-01,291473.3101013131
2013-02,283412.51067365165
2013-03,282825.9213957674
2013-04,295095.1397382936
2013-05,295640.82296739053
